"BlankieID","Tree","survey","blankie","Date","state","occu","height","cardinal","collected","photoStart","photoEnd","fullLabel","Blankie.length","Top.angle","Bottom.angle","Top.width","Bottom.width","Notes","Prosoma.length","Prosoma.width","Opisthosoma.length","Opisthosoma.width","Circumference..cm.","Scientific.Name","Common.Name","treeRadius","occupied","cardinalInRadians","filename","SurveyName","BlankieWidth","BlankieLength","BlankieArea","BlankiePhotoFile","Group","surveyId"
"1042-01-01","1042",1,"1",2018-07-23,"Good","yes",1.74,174,NA,NA,NA,NA,12.87,"48.92","-10.28","4.82","6.2","",1.98,1.72,3.11,2.32,"87","Angophora costata","Smooth-barked Apple Myrtle",0.138464800489949,TRUE,-4.60766922526503,"2018-07 Blankie Survey.csv","2018-07",7.6066286335235,14.9415919587069,85.4952349344022,"../data/Photos outline/2018-07 outlines/1042/1042-01-01.png","2018-07 outlines",1
"1042-01-02","1042",1,"2",2018-07-23,"Good","",1.47,189,NA,NA,NA,NA,10.84,"-60.4","-2.045","4.03","4.18","",NA,NA,NA,NA,"87","Angophora costata","Smooth-barked Apple Myrtle",0.138464800489949,FALSE,-4.86946861306418,"2018-07 Blankie Survey.csv","2018-07",7.09046454767726,12.5509372453138,67.5517450086389,"../data/Photos outline/2018-07 outlines/1042/1042-01-02.png","2018-07 outlines",1
"1042-01-03","1042",1,"3",2018-07-23,"Damaged","",0.79,149,NA,NA,NA,NA,12.08,"","","","","",NA,NA,NA,NA,"87","Angophora costata","Smooth-barked Apple Myrtle",0.138464800489949,FALSE,-4.17133691226645,"2018-07 Blankie Survey.csv","2018-07",6.90029883183917,13.039934800326,73.3009239055951,"../data/Photos outline/2018-07 outlines/1042/1042-01-03.png","2018-07 outlines",1
"1043-01-02","1043",1,"2",2018-07-23,"Damaged","",0.72,219,NA,NA,NA,NA,9.53,"","","","","",NA,NA,NA,NA,"121","Angophora costata","Smooth-barked Apple Myrtle",0.192577481141193,FALSE,-5.39306738866248,"2018-07 Blankie Survey.csv","2018-07",5.4333061668025,8.82912252105406,41.0346721244751,"../data/Photos outline/2018-07 outlines/1043/1043-01-02.png","2018-07 outlines",1
"1066-01-01","1066",1,"1",2018-07-23,"Good","yes",1.03,217,NA,NA,NA,NA,21.81,"80.41","-11.26","6.86","5.68","",2.38,1.88,3.77,2.63,"188","Eucalyptus grandis","Flooded Gum",0.299211293012763,TRUE,-5.35816080362259,"2018-07 Blankie Survey.csv","2018-07",8.4759576202119,23.933713664765,144.713991634244,"../data/Photos outline/2018-07 outlines/1066/1066-01-01.png","2018-07 outlines",1
"1066-01-02","1066",1,"2",2018-07-23,"Good","yes",0.74,192,NA,NA,NA,NA,11.64,"-53.56","8.92","5.28","5.19","",2.07,1.69,2.7,1.79,"188","Eucalyptus grandis","Flooded Gum",0.299211293012763,TRUE,-4.92182849062401,"2018-07 Blankie Survey.csv","2018-07",5.81363759847867,14.3982613420266,65.2520734498564,"../data/Photos outline/2018-07 outlines/1066/1066-01-02.png","2018-07 outlines",1
"1066-01-03","1066",1,"3",2018-07-23,"Good","",0.96,74,NA,NA,NA,NA,12.35,"-47.67","8.72","4.04","4.46","",NA,NA,NA,NA,"188","Eucalyptus grandis","Flooded Gum",0.299211293012763,FALSE,-2.8623399732707,"2018-07 Blankie Survey.csv","2018-07",7.71529475685955,14.0722629720185,80.0110053601683,"../data/Photos outline/2018-07 outlines/1066/1066-01-03.png","2018-07 outlines",1
"1066-01-04","1066",1,"4",2018-07-23,"Good","",1.78,58,NA,NA,NA,NA,14.48,"-52.45","-15.45","4.58","4.69","",NA,NA,NA,NA,"188","Eucalyptus grandis","Flooded Gum",0.299211293012763,FALSE,-2.58308729295161,"2018-07 Blankie Survey.csv","2018-07",7.41646291768541,13.8549307253464,87.2886245004617,"../data/Photos outline/2018-07 outlines/1066/1066-01-04.png","2018-07 outlines",1
"1066-01-05","1066",1,"5",2018-07-23,"Good","yes",1.74,356,NA,NA,NA,NA,17.74,"-66.22","16.73","6.43","6.25","",2.37,1.86,3.59,2.5,"188","Eucalyptus grandis","Flooded Gum",0.299211293012763,TRUE,-7.78416846389471,"2018-07 Blankie Survey.csv","2018-07",10.1602825319207,21.760391198044,162.137915200128,"../data/Photos outline/2018-07 outlines/1066/1066-01-05.png","2018-07 outlines",1
"1068-01-01","1068",1,"1",2018-07-23,"Slightly damaged","yes",1.68,248,NA,NA,NA,NA,12.4,"-66.66","3.5","5.43","5.25","",1.95,1.7,2.77,1.93,"134+96","Eucalyptus grandis","Flooded Gum",0.366056369111359,TRUE,-5.89921287174083,"2018-07 Blankie Survey.csv","2018-07",6.60146699266504,13.9364303178484,65.1081594723331,"../data/Photos outline/2018-07 outlines/1068/1068-01-01.png","2018-07 outlines",1
